"","cowcode","year","warstds","ager","agexp","anoc","army85","autch98","auto4","autonomy","avgnabo","centpol3","coldwar","decade1","decade2","decade3","decade4","dem","dem4","demch98","dlang","drel","durable","ef","ef2","ehet","elfo","elfo2","etdo4590","expgdp","exrec","fedpol3","fuelexp","gdpgrowth","geo1","geo2","geo34","geo57","geo69","geo8","illiteracy","incumb","infant","inst","inst3","life","lmtnest","ln_gdpen","lpopns","major","manuexp","milper","mirps0","mirps1","mirps2","mirps3","nat_war","ncontig","nmgdp","nmdp4_alt","numlang","nwstate","oil","p4mchg","parcomp","parreg","part","partfree","plural","plurrel","pol4","pol4m","pol4sq","polch98","polcomp","popdense","presi","pri","proxregc","ptime","reg","regd4_alt","relfrac","seceduc","second","semipol3","sip2","sxpnew","sxpsq","tnatwar","trade","warhist","xconst"
"21",700,1965,0,95,54.43716049,0,47000,0,7,0,0.0078924,1,1,1,0,0,0,0,0,0,70,20,0,0.750796974,0.563696086,90,66,4356,1,8.888893127,2,0,15.20990746,0.022551241,0,0,0,1,0,0,34.11413273,0,68.82290436,0,1,34,4.198705196,-0.478035808,16.48141861,0,12.87942982,100,0,0,1,0,0,0,1610,-7.5,8,0,0,3,2,4,1,0,0.379999995,84,-7,-7,49,0,2,17.04519081,0,9,1,252,1,-1.5,0.271800011,1,0.252999991,0,0.111111097,0.157425787,0.052373174,0,26.94445038,0,3
"22",700,1966,0,96,45.76094055,0,47000,-3,7,0,0.0078924,1,1,1,0,0,0,0,0,0,70,20,1,0.750796974,0.563696086,90,66,4356,1,11.2582798,2,0,15.22832819,0.022480996,0,0,0,1,0,0,34.22348663,0,211,0,1,36,4.198705196,-0.43695572,16.4913826,0,13.07223034,90,0,0,1,0,0,0,1685.666626,-7.5,8,0,0,0,2,4,1,0,0.379999995,84,-7,-7,49,3,2,17.42930031,0,16,0.25,264,1,-2,0.271800011,2,0.252999991,0,0.111111097,0.073792502,0.005445333,0,32.67108154,0,3
"23",700,1967,0,97,51.7149086,0,47000,0,7,0,0.0078924,1,1,1,0,0,0,0,0,0,70,20,2,0.750796974,0.563696086,90,66,4356,1,8.571428299,2,0,15.25333981,0.022523012,0,0,0,1,0,0,34.17179595,0,211,0,0,36,4.198705196,-0.318828791,16.50083733,0,12.45695019,90,0,0,1,0,0,0,1745.333374,-8,8,0,0,0,2,4,1,0,0.379999995,84,-7,-7,49,0,2,17.82731056,0,16,0.0625,276,1,-2,0.271800011,2,0.252999991,0,0.111111097,0.051410399,0.002643029,0,27.14286041,0,3
"24",700,1968,0,98,46.35572052,0,47000,0,7,0,0.0078924,1,1,1,0,0,0,0,0,0,70,20,3,0.750796974,0.563696086,90,66,4356,1,6.772908211,2,0,4.409617901,0.022545832,0,0,0,1,0,0,34.157519,0,211,0,0,36,4.198705196,-0.281037539,16.50986671,0,8.025511742,75,0,0,1,0,1,0,1858,-8,8,0,0,0,2,4,1,0,0.379999995,84,-7,-7,49,0,2,18.2389698,0,16,0.015625,288,1,-2,0.271800011,2,0.252999991,0,0.111111097,0.046819098,0.002192028,1,20.9827404,0,3
"25",700,1969,0,99,38.09204865,0,47000,0,7,0,0.0078924,1,1,1,0,0,0,0,0,0,70,20,4,0.750796974,0.563696086,90,66,4356,1,8.899676323,2,0,12.57894993,0.022546402,0,0,0,1,0,0,34.08734033,0,211,0,0,36,4.198705196,-0.355247438,16.51888275,0,7.243965149,70,0,0,1,0,1,0,1949,-8,8,0,0,0,2,4,1,0,0.379999995,84,-7,-7,49,0,2,18.66419029,0,16,0.00390625,300,1,-2,0.271800011,2,0.252999991,0,0.111111097,0.0483725,0.002339899,1,24.11002922,0,3
"26",700,1970,0,100,38.05075073,0,47000,0,7,0,0.0131874,1,1,0,1,0,0,0,0,0,70,20,5,0.750796974,0.563696086,90,66,4356,1,10.09463978,2,0,14.86608982,0.022520472,0,0,0,1,0,0,34.17055538,0,211,0,0,36,4.198705196,-0.301105082,16.52768517,0,8.721653938,70,0,0,1,0,0,0,2173.666748,-7.5,8,0,0,0,2,4,1,0,0.379999995,84,-7,-7,49,0,2,19.10318947,0,16,0.000976563,312,1,0,0.271800011,2,0.252999991,0,0.111111097,0.053477898,0.002859886,0,25.07887077,0,3
"27",700,1971,0,101,35.82395172,0,47000,0,7,0,0.0131874,1,1,0,1,0,0,0,0,0,70,20,6,0.750796974,0.563696086,90,66,4356,1,9.784002304,2,0,16.94607925,0.022532755,0,0,0,1,0,0,88.19999695,0,197.6000061,0,0,37.20000076,4.198705196,-0.173163593,16.5366745,0,10.91423988,70,0,0,1,0,0,0,2149.666748,-7.5,8,0,0,0,2,4,1,0,0.379999995,84,-7,-7,49,0,2,19.54987907,0,28,0.000244141,324,1,0,0.271800011,7,0.252999991,0,0.111111097,0.042967301,0.001846189,0,21.72810936,0,3
"28",700,1972,0,102,45.65631866,0,47000,0,7,0,0.0131874,1,1,0,1,0,0,0,0,0,70,20,7,0.750796974,0.563696086,90,66,4356,1,10.92234039,2,0,14.55327034,0.022584076,0,0,0,1,0,0,87.69999695,0,197.6000061,0,0,37.20000076,4.198705196,-0.236988991,16.5447998,0,12.74775028,83,0,0,1,0,1,0,2263.333252,-7.5,8,0,0,0,2,4,1,0,0.379999995,84,-7,-7,49,0,2,20.01431084,0,28,6.1e-05,336,1,-1,0.271800011,7,0.252999991,0,0.111111097,0.0475902,0.002264827,1,27.06314087,0,3
"29",700,1973,0,103,33.93796921,0,47000,0,7,0,0.0105231,1,1,0,1,0,0,0,0,0,70,20,8,0.750796974,0.563696086,90,66,4356,1,14.76323032,2,0,13.73089981,0.022448091,0,0,0,1,0,0,87.09999847,0,197.6000061,0,0,37.20000076,4.198705196,-0.176737174,16.55273056,0,14.89099979,84,0,0,1,0,0,0,2475.666748,-7.5,8,0,0,0,2,4,1,0,0.379999995,84,-7,-7,49,0,2,20.49809074,0,28,1.53e-05,348,1,-3,0.271800011,7,0.252999991,0,0.111111097,0.066260099,0.004390401,0,32.86907959,0,3
"30",700,1974,0,104,26.89307976,0,47000,0,7,0,0.318015993,1,1,0,1,0,0,0,0,0,70,20,9,0.750796974,0.563696086,90,66,4356,1,12.94871998,4,0,11.61956024,0.022540499,0,0,0,1,0,0,86.40000153,0,197.6000061,0,0,37.20000076,4.198705196,-0.12443006,16.56124115,0,12.30268955,91,0,1,0,0,1,0,2541,-7.5,8,0,0,0,1,4,1,0,0.379999995,84,-7,-7,49,0,1,21.00233078,0,28,3.81e-06,360,1,-2,0.271800011,7,0.252999991,0,0,0.079936497,0.006389844,1,27.69231033,0,1
